dep,dur,mem,jour,temp,prec,pointe
5/31/2021 11:21,565,0,lundi,15.7,0,3
5/10/2021 21:10,899,0,lundi,11.4,0,3
5/10/2021 12:52,2149,0,lundi,11.4,0,3
5/10/2021 17:59,1682,0,lundi,11.4,0,2
5/31/2021 17:24,778,0,lundi,15.7,0,2
5/17/2021 18:19,689,0,lundi,17.9,0.2,2
5/24/2021 17:06,5528,0,lundi,14.4,0,2
5/10/2021 15:08,3062,0,lundi,11.4,0,2
6/21/2021 9:05,441,0,lundi,24.1,2.9,1
6/21/2021 7:32,569,0,lundi,24.1,2.9,1
6/28/2021 6:30,93,0,lundi,27,2.3,1
6/21/2021 8:44,1451,0,lundi,24.1,2.9,1
6/28/2021 9:21,413,0,lundi,27,2.3,1
6/28/2021 20:47,682,0,lundi,27,2.3,3
6/28/2021 20:09,807,0,lundi,27,2.3,3
6/28/2021 19:18,215,0,lundi,27,2.3,3
6/7/2021 20:43,1023,0,lundi,27.6,0,3
6/28/2021 22:10,386,0,lundi,27,2.3,3
6/14/2021 18:43,144,0,lundi,20.6,7.8,2
6/28/2021 18:23,740,0,lundi,27,2.3,2
6/21/2021 17:38,415,0,lundi,24.1,2.9,2
6/21/2021 17:01,617,0,lundi,24.1,2.9,2
6/28/2021 17:19,1344,0,lundi,27,2.3,2
7/19/2021 8:32,1030,0,lundi,23.3,0,1
7/5/2021 9:41,615,0,lundi,20.2,0,1
7/26/2021 8:49,1459,0,lundi,23.5,0,1
7/5/2021 9:01,226,0,lundi,20.2,0,1
7/5/2021 6:43,370,0,lundi,20.2,0,1
7/12/2021 10:55,665,0,lundi,23.1,0,3
7/5/2021 12:36,188,0,lundi,20.2,0,3
7/26/2021 23:18,2707,0,lundi,23.5,0,3
7/5/2021 2:13,1182,0,lundi,20.2,0,3
7/5/2021 22:43,2251,0,lundi,20.2,0,3
7/26/2021 15:27,1642,0,lundi,23.5,0,2
7/5/2021 15:20,621,0,lundi,20.2,0,2
